Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6,Load_MW_z7,Load_MW_z8,Load_MW_z9,Load_MW_z10,Load_MW_z11,Load_MW_z12,Load_MW_z13,Load_MW_z14,Load_MW_z15,Load_MW_z16,Load_MW_z17,Load_MW_z18,Load_MW_z19,Load_MW_z20,Load_MW_z21,Load_MW_z22,Load_MW_z23,Load_MW_z24,Load_MW_z25,Load_MW_z26
5000,1,1,1,5000,10,168,2184,1,14145,13033,20109,24991,13277,20383,10433,21410,23449,20477,9076,8121,14485,11050,30340,30547,11271,9470,6226,14418,24851,25589,30290,20389,47801,2263
,,,,,,,504,2,13054,12113,18688,23240,12098,19047,9778,20089,21949,19047,8414,7635,13521,10348,28134,28653,10680,8799,5847,13544,23453,23841,28283,18690,44695,2098
,,,,,,,1512,3,12070,11026,17005,22117,11392,18096,9321,19132,20881,17393,7993,7300,12776,9919,26653,27341,10068,8344,5548,12830,22584,22594,26758,17180,42224,1969
,,,,,,,504,4,11190,10134,15623,21554,10891,17353,9009,18468,20280,16048,7674,7053,12052,9544,25571,26300,9677,7994,5376,12354,22001,21847,25764,15976,40573,1885
,,,,,,,504,5,10677,9583,14761,21255,10544,17070,8887,18062,20055,15215,7440,6884,11674,9375,24978,25624,9485,7823,5286,12044,21488,21263,25105,15052,39483,1829
,,,,,,,1176,6,10289,9306,14322,21753,10355,16746,8703,17745,19828,14885,7278,6745,11411,9310,24648,25394,9253,7697,5276,11880,22013,20936,24588,14409,39123,1806
,,,,,,,840,7,10007,9044,13911,24123,10118,16841,9052,17498,20384,14709,7339,6744,11240,9246,24728,25491,9043,7649,5332,11694,24121,21341,24911,13959,38967,1799
,,,,,,,840,8,9791,8879,13650,28182,10351,18006,9759,18027,22066,14637,7935,7122,11745,9762,26887,27085,8961,8078,5646,11999,27132,23306,27251,13582,39762,1846
,,,,,,,504,9,9660,8884,13656,32124,11340,19846,10693,19681,24084,14982,8806,7808,12867,10921,30338,29820,8958,8951,6134,13069,30432,26414,30724,13540,42970,2017
,,,,,,,168,10,9977,8845,13600,35709,12844,21779,11667,21652,26324,16038,9769,8552,14231,12307,34316,33145,9108,9919,6622,14370,33639,29293,34205,14681,46288,2183
,,,,,,,,11,10703,9259,14249,38627,14179,23578,12552,23514,28453,17693,10614,9221,15572,13541,37944,35841,9639,10880,7120,15533,36174,31807,37541,16157,49775,2362
,,,,,,,,12,11611,9853,15169,40639,15261,25220,13345,24948,30252,18944,11321,9806,16799,14726,40962,38386,10166,11730,7487,16584,37840,33912,40554,17711,53025,2533
,,,,,,,,13,12548,10456,16109,42209,16179,26538,14028,26287,31821,20237,11854,10213,17717,15539,43295,40492,10924,12419,7710,17596,38672,35603,42907,19601,55795,2670
,,,,,,,,14,13415,11166,17208,43370,16590,26987,14496,27316,32930,20858,12186,10481,17485,16139,44784,41764,11552,12995,7892,18327,38816,36752,44231,21134,58128,2791
,,,,,,,,15,14143,11744,18102,44029,16836,26890,14935,27838,33600,20972,12335,10579,16628,16438,45816,42686,12025,13353,8013,18753,38326,37273,44705,22260,59632,2868
,,,,,,,,16,14794,12250,18889,44274,17010,27049,15319,27967,34073,21200,12421,10606,16953,16640,46701,43410,12465,13576,8184,18937,37047,37601,44681,23477,60430,2911
,,,,,,,,17,15307,12589,19409,43678,16789,27348,15481,27906,34392,21057,12509,10635,17616,16623,47514,43856,12896,13746,8344,19030,35299,37839,44136,24179,60426,2916
,,,,,,,,18,15854,12948,19965,42446,16335,27211,15221,27742,34247,20981,12375,10470,17894,16417,47172,42915,13257,13788,8407,19024,33181,37427,42735,24839,60166,2907
,,,,,,,,19,16298,13310,20529,41167,16545,26882,14910,27073,33176,21143,12089,10239,17889,16277,46645,41715,13540,13550,8293,18557,31915,36532,41371,25230,59123,2860
,,,,,,,,20,16574,13631,21028,39746,16561,26197,14332,26563,32447,21495,11778,10025,17627,15902,45345,39906,13657,13169,8131,18186,30717,35034,39888,25320,58045,2804
,,,,,,,,21,16567,13701,21145,37438,16195,25361,13825,26124,31631,21637,11418,9777,17085,15446,43741,38257,13819,12635,7906,17718,28798,33710,38490,24354,57111,2747
,,,,,,,,22,16219,13723,21183,33904,15996,24561,13362,25639,30825,21882,11328,9752,16681,14963,42560,37080,13586,12232,7772,17407,26494,31920,35818,23509,56583,2707
,,,,,,,,23,15637,13360,20619,30490,15651,23123,12218,24131,28714,21581,10629,9230,16167,13811,39430,34886,13082,11356,7408,16375,24212,29269,32655,22962,53528,2552
,,,,,,,,24,15092,13262,20466,27424,14275,21307,11167,22320,26378,21097,9691,8570,15062,12644,35543,31958,12714,10336,6897,15023,22271,26620,29680,21250,49547,2354
,,,,,,,,25,14206,12964,20004,24889,12741,19616,10351,20683,24397,20357,8516,7871,13951,11684,32101,29641,11934,9418,6372,13973,20820,24273,27372,19377,45764,2158
,,,,,,,,26,13058,11956,18447,23284,11737,18432,9859,19399,22876,19047,7914,7433,13005,11012,29744,28047,11144,8719,5972,13147,19957,22743,25681,17637,42943,2000
,,,,,,,,27,11966,10766,16608,22553,11070,17701,9539,18526,22134,17075,7475,7112,12378,10600,28125,27016,10377,8298,5775,12625,19553,21771,24601,16241,41411,1917
,,,,,,,,28,11013,9837,15200,22635,10694,17279,9477,17965,21810,15790,7217,6908,11945,10326,27135,26398,10045,8034,5662,12286,19976,21224,24049,15059,40640,1874
,,,,,,,,29,10519,9485,14651,23755,10494,17442,9739,17949,22164,15202,7148,6866,11789,10331,26936,26501,9688,8000,5664,12237,20867,21272,24250,14358,40941,1881
,,,,,,,,30,10191,9154,14136,25441,10662,17982,10269,18259,23209,14963,7295,7006,11979,10701,27779,27580,9493,8217,5869,12501,21909,21865,25310,14017,42492,1949
,,,,,,,,31,10068,9028,13936,28190,11167,19110,11311,18857,25424,15145,7876,7439,12561,11046,30063,29505,9431,8616,6271,12974,23542,23126,26441,13982,44655,2048
,,,,,,,,32,10138,9142,14104,31459,12546,21023,12510,19839,28188,15857,8855,8257,13927,11949,33284,32177,9646,9465,6914,13601,25506,24982,28011,14224,46647,2165
,,,,,,,,33,10576,9519,14682,34761,14060,22974,13775,21262,30891,17177,9737,9026,15563,12936,36203,35064,10000,10410,7457,14654,27757,26877,29824,14988,49747,2324
,,,,,,,,34,11269,10243,15810,37780,14987,24766,14951,22840,33167,19578,10431,9611,17184,13857,38768,37669,10447,11290,7767,15737,29811,28928,31862,15972,53427,2502
