Period_Index,Rep_Period_Index,Month,Rep_Period
1,20,1,1
2,17,1,2
3,7,1,3
4,14,1,4
5,7,2,3
6,11,2,6
7,11,2,6
8,4,2,8
9,4,3,8
10,12,3,10
11,15,3,13
12,19,3,12
13,15,4,13
14,15,4,13
15,5,4,15
16,5,4,15
17,16,4,17
18,1,5,27
19,1,5,27
20,9,5,20
21,9,5,20
22,1,6,27
23,1,6,27
24,1,6,27
25,1,6,27
26,1,7,27
27,1,7,27
28,6,7,33
29,1,7,27
30,1,7,27
31,6,8,33
32,6,8,33
33,6,8,33
34,6,8,33
35,6,9,33
36,6,9,33
37,1,9,27
38,1,9,27
39,1,9,27
40,6,10,33
41,13,10,50
42,8,10,43
43,8,10,43
44,18,11,44
45,3,11,48
46,3,11,48
47,3,11,48
48,3,12,48
49,3,12,48
50,13,12,50
51,10,12,51
52,2,12,52
