region,Resource,technology,cluster,Zone,Num_VRE_Bins,LDS,Min_Share,Max_Share,Existing_Cap_MW,num_units,unmodified_existing_cap_mw,New_Build,Cap_Size,Min_Cap_MW,Max_Cap_MW,Min_Share_percent,Max_Share_percent,capex_mw,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,capex_mwh,Var_OM_Cost_per_MWh,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Heat_Rate_MMBTU_per_MWh,heat_rate_mmbtu_mwh_iqr,heat_rate_mmbtu_mwh_std,Fuel,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,CO2_Capture_Rate,CO2_Capture_Cost_per_Metric_Ton,co2_pipeline_annuity_mw,co2_pipeline_capex_mw,storage_cost_tonne,tonne_co2_captured_mwh,co2_cost_mwh,spur_miles,spur_capex,offshore_spur_miles,offshore_spur_capex,tx_miles,tx_capex,interconnect_annuity,interconnect_capex_mw,regional_cost_multiplier,variable_CF,RETRO,Num_RETRO_Sources,Retro1_Source,Retro1_Efficiency,Retro1_Inv_Cost_per_MWyr,Retro2_Source,Retro2_Efficiency,Retro2_Inv_Cost_per_MWyr,Retro3_Source,gen_is_variable,Retro3_Efficiency,old_Inv_Cost_per_MWyr,old_Inv_Cost_per_MWhyr,Can_Retire
BASN,BASN_onshore_wind_turbine_1,Onshore Wind Turbine,1,1,1,0,0,0,2030.1,41.0,2030.115,0,49.52,0,0.0,0.0,0.0,0.0,0,30300,0.0,0.0,0.0,0.0,8.94,0.0,0.08,None,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.2254433000456806,0,0,0,0,0,0,0,0,0,1,0,0,0,0
BASN,BASN_solar_photovoltaic_1,Solar Photovoltaic,1,1,1,0,0,0,8006.2,160.0,8006.24,0,50.04,0,0.0,0.0,0.0,0.0,0,22528,0.0,0.0,0.0,0.0,9.08,0.367,0.18,None,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.2853540855264589,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CANO,CANO_onshore_wind_turbine_1,Onshore Wind Turbine,1,2,1,0,0,0,1442.0,34.0,1442.008,0,42.41,0,0.0,0.0,0.0,0.0,0,30300,0.0,0.0,0.0,0.0,8.87,0.092,0.161,None,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.1947309653916211,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CANO,CANO_solar_photovoltaic_1,Solar Photovoltaic,1,2,1,0,0,0,6328.2,344.0,6328.224,0,18.4,0,0.0,0.0,0.0,0.0,0,22528,0.0,0.0,0.0,0.0,9.05,0.367,0.184,None,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.27731498949993,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CASO,CASO_onshore_wind_turbine_1,Onshore Wind Turbine,1,3,1,0,0,0,4055.5,67.0,4055.51,0,60.53,0,0.0,0.0,0.0,0.0,0,30300,0.0,0.0,0.0,0.0,8.88,0.0,0.117,None,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.3516418684260013,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CASO,CASO_solar_photovoltaic_1,Solar Photovoltaic,1,3,1,0,0,0,13797.3,683.0,13797.283,0,20.2,0,0.0,0.0,0.0,0.0,0,22528,0.0,0.0,0.0,0.0,9.07,0.367,0.173,None,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.2621842701230235,0,0,0,0,0,0,0,0,0,1,0,0,0,0
FRCC,FRCC_solar_photovoltaic_1,Solar Photovoltaic,1,4,1,0,0,0,9458.5,167.0,9458.546,0,56.64,0,0.0,0.0,0.0,0.0,0,22528,0.0,0.0,0.0,0.0,9.18,0.0,0.148,None,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.224855373406193,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ISNE,ISNE_offshore_wind_turbine_1,Offshore Wind Turbine,1,5,1,0,0,0,29.3,1.0,29.3,0,29.3,0,0.0,0.0,0.0,0.0,0,111562,0.0,0.0,0.0,0.0,8.84,0.0,0.0,None,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.4499504326047359,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ISNE,ISNE_onshore_wind_turbine_1,Onshore Wind Turbine,1,5,1,0,0,0,1542.1,83.0,1542.14,0,18.58,0,0.0,0.0,0.0,0.0,0,30300,0.0,0.0,0.0,0.0,8.88,0.0,0.151,None,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.2453329402901309,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ISNE,ISNE_solar_photovoltaic_1,Solar Photovoltaic,1,5,1,0,0,0,2681.9,738.0,2681.892,0,3.63,0,0.0,0.0,0.0,0.0,0,22528,0.0,0.0,0.0,0.0,9.12,0.367,0.175,None,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.2217958502588302,0,0,0,0,0,0,0,0,0,1,0,0,0,0
MISC,MISC_onshore_wind_turbine_1,Onshore Wind Turbine,1,6,1,0,0,0,6437.0,44.0,6436.98,0,146.29,0,0.0,0.0,0.0,0.0,0,30300,0.0,0.0,0.0,0.0,9.06,0.367,0.186,None,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.2534358872657909,0,0,0,0,0,0,0,0,0,1,0,0,0,0
MISC,MISC_solar_photovoltaic_1,Solar Photovoltaic,1,6,1,0,0,0,3922.2,151.0,3922.225,0,25.98,0,0.0,0.0,0.0,0.0,0,22528,0.0,0.0,0.0,0.0,9.19,0.367,0.176,None,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.2343278441684256,0,0,0,0,0,0,0,0,0,1,0,0,0,0
MISE,MISE_onshore_wind_turbine_1,Onshore Wind Turbine,1,7,1,0,0,0,3676.9,40.0,3676.88,0,91.92,0,0.0,0.0,0.0,0.0,0,30300,0.0,0.0,0.0,0.0,9.02,0.367,0.166,None,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.2795701388888889,0,0,0,0,0,0,0,0,0,1,0,0,0,0
MISE,MISE_solar_photovoltaic_1,Solar Photovoltaic,1,7,1,0,0,0,1181.0,52.0,1181.024,0,22.71,0,0.0,0.0,0.0,0.0,0,22528,0.0,0.0,0.0,0.0,9.19,0.0,0.14,None,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.2384580373406193,0,0,0,0,0,0,0,0,0,1,0,0,0,0
MISS,MISS_onshore_wind_turbine_1,Onshore Wind Turbine,1,8,1,0,0,0,184.5,1.0,184.5,0,184.5,0,0.0,0.0,0.0,0.0,0,30300,0.0,0.0,0.0,0.0,9.21,0.0,0.0,None,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.2385993510928962,0,0,0,0,0,0,0,0,0,1,0,0,0,0
MISS,MISS_solar_photovoltaic_1,Solar Photovoltaic,1,8,1,0,0,0,2207.9,37.0,2207.901,0,59.67,0,0.0,0.0,0.0,0.0,0,22528,0.0,0.0,0.0,0.0,9.18,0.0,0.102,None,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.2471633296804596,0,0,0,0,0,0,0,0,0,1,0,0,0,0
MISW,MISW_onshore_wind_turbine_1,Onshore Wind Turbine,1,9,1,0,0,0,23793.1,360.0,23793.12,0,66.09,0,0.0,0.0,0.0,0.0,0,30300,0.0,0.0,0.0,0.0,8.99,0.0,0.151,None,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.3125134160205605,0,0,0,0,0,0,0,0,0,1,0,0,0,0
MISW,MISW_solar_photovoltaic_1,Solar Photovoltaic,1,9,1,0,0,0,3131.6,759.0,3131.634,0,4.13,0,0.0,0.0,0.0,0.0,0,22528,0.0,0.0,0.0,0.0,9.16,0.0,0.137,None,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.2452537306694199,0,0,0,0,0,0,0,0,0,1,0,0,0,0
NWPP,NWPP_onshore_wind_turbine_1,Onshore Wind Turbine,1,10,1,0,0,0,8732.7,104.0,8732.672,0,83.97,0,0.0,0.0,0.0,0.0,0,30300,0.0,0.0,0.0,0.0,8.92,0.0,0.145,None,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.2713609028551774,0,0,0,0,0,0,0,0,0,1,0,0,0,0
NWPP,NWPP_solar_photovoltaic_1,Solar Photovoltaic,1,10,1,0,0,0,1628.6,136.0,1628.6,0,11.98,0,0.0,0.0,0.0,0.0,0,22528,0.0,0.0,0.0,0.0,9.18,0.0,0.133,None,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.2433019958306205,0,0,0,0,0,0,0,0,0,1,0,0,0,0
NYCW,NYCW_solar_photovoltaic_1,Solar Photovoltaic,1,11,1,0,0,0,157.3,28.0,157.304,0,5.62,0,0.0,0.0,0.0,0.0,0,22528,0.0,0.0,0.0,0.0,9.01,0.367,0.187,None,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.2095016545327514,0,0,0,0,0,0,0,0,0,1,0,0,0,0
