Resource,Derating_factor_1,Derating_factor_2,Derating_factor_4,Derating_factor_5,Derating_factor_10,Derating_factor_3,Derating_factor_8,Derating_factor_7,Derating_factor_9,Derating_factor_6
BASN_batteries_1,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0
BASN_biomass_1,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.0,0.0
BASN_biomass_2,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.0,0.0
BASN_conventional_hydroelectric_1,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0
BASN_conventional_steam_coal_1,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.0,0.0
BASN_conventional_steam_coal_2,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.0,0.0
BASN_geothermal_1,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.0,0.0
BASN_natural_gas_fired_combined_cycle_1,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.0,0.0
BASN_natural_gas_fired_combined_cycle_2,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.0,0.0
BASN_natural_gas_fired_combustion_turbine_1,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.0,0.0
BASN_natural_gas_fired_combustion_turbine_2,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.0,0.0
BASN_natural_gas_internal_combustion_engine_1,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.0,0.0
BASN_natural_gas_steam_turbine_1,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.0,0.0
BASN_onshore_wind_turbine_1,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0
BASN_petroleum_liquids_1,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.0,0.0
BASN_small_hydroelectric_1,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0
BASN_solar_photovoltaic_1,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0
CANO_batteries_1,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CANO_biomass_1,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
