,{true;false},,,{true;false},{true;false},MW,units,MW,{empty;==;>=},{true;false},MWh/year,units,MWh,h,{true;false},kEUR/MWh/year,kEUR/MWh/year,MWh,{true;false},{missing;binary;relaxed_binary},MWh,MWh,{true;false},{missing;basic},kEUR/h/unit_on,{true;false},[p.u.],{true;false},[p.u.],[p.u.]
name,active,year,commission_year,investable,investment_integer,investment_limit,initial_units,peak_demand,consumer_balance_sense,is_seasonal,storage_inflows,initial_storage_units,initial_storage_level,energy_to_power_ratio,storage_method_energy,investment_cost_storage_energy,fixed_cost_storage_energy,investment_limit_storage_energy,investment_integer_storage_energy,use_binary_storage_method,max_energy_timeframe_partition,min_energy_timeframe_partition,unit_commitment,unit_commitment_method,units_on_cost,unit_commitment_integer,min_operating_point,ramping,max_ramp_up,max_ramp_down
NL_E_Balance,true,2030,2030,false,false,,0,0,,false,0,0,0,0,false,0,5,,false,,,,false,,,false,,false,,
NL_E_Demand,true,2030,2030,false,false,,0,21291.22,,false,0,0,0,0,false,0,5,,false,,,,false,,,false,,false,,
NL_E_ENS,true,2030,2030,false,false,,1,0,,false,0,0,0,0,false,0,5,,false,,,,false,,,false,,false,,
NL_Wind_Onshore,true,2030,2030,true,true,15952,1,0,,false,0,0,0,0,false,0,5,,false,,,,false,,,false,,false,,
NL_Wind_Offshore,true,2030,2030,true,true,45880,1,0,,false,0,0,0,0,false,0,5,,false,,,,false,,,false,,false,,
NL_Solar,true,2030,2030,true,true,109056,1,0,,false,0,0,0,0,false,0,5,,false,,,,false,,,false,,false,,
NL_Battery,true,2030,2030,false,false,,1,0,,false,5800,1,,3,false,0,5,,false,relaxed_binary,,,false,,,false,,false,,
NL_Gas,true,2030,2030,true,true,25476,1,0,,false,0,0,0,0,false,0,5,,false,,,,false,basic,0.101,false,0.3,false,0.7,0.7
NL_OCGT,true,2030,2030,true,true,1507.2,1,0,,false,0,0,0,0,false,0,5,,false,,,,false,basic,0.088,false,0.25,false,0.75,0.75
BE_E_Balance,true,2030,2030,false,false,,0,0,,false,0,0,0,0,false,0,5,,false,,,,false,,,false,,false,,
BE_E_Demand,true,2030,2030,false,false,,0,14380.34,,false,0,0,0,0,false,0,5,,false,,,,false,,,false,,false,,
BE_E_ENS,true,2030,2030,false,false,,1,0,,false,0,0,0,0,false,0,5,,false,,,,false,,,false,,false,,
BE_Wind_Onshore,true,2030,2030,true,true,9338,1,0,,false,0,0,0,0,false,0,5,,false,,,,false,,,false,,false,,
BE_Wind_Offshore,true,2030,2030,true,true,23200,1,0,,false,0,0,0,0,false,0,5,,false,,,,false,,,false,,false,,
BE_Solar,true,2030,2030,true,true,41600,1,0,,false,0,0,0,0,false,0,5,,false,,,,false,,,false,,false,,
BE_Hydro,true,2030,2030,false,false,,1,0,,false,0,0,0,0,false,0,5,,false,,,,false,,,false,,false,,
BE_Battery,true,2030,2030,false,false,,1,0,,false,767,1,,3,false,0,5,,false,relaxed_binary,,,false,,,false,,false,,
BE_Gas,true,2030,2030,true,true,20954.4,1,0,,false,0,0,0,0,false,0,5,,false,,,,false,basic,0.101,false,0.3,false,0.7,0.7
BE_OCGT,true,2030,2030,true,true,705.6,1,0,,false,0,0,0,0,false,0,5,,false,,,,false,basic,0.088,false,0.25,false,0.75,0.75
DE_E_Balance,true,2030,2030,false,false,,0,0,,false,0,0,0,0,false,0,5,,false,,,,false,,,false,,false,,
DE_E_Demand,true,2030,2030,false,false,,0,90152,,false,0,0,0,0,false,0,5,,false,,,,false,,,false,,false,,
DE_E_ENS,true,2030,2030,false,false,,1,0,,false,0,0,0,0,false,0,5,,false,,,,false,,,false,,false,,
DE_Wind_Onshore,true,2030,2030,true,true,150744,1,0,,false,0,0,0,0,false,0,5,,false,,,,false,,,false,,false,,
DE_Wind_Offshore,true,2030,2030,true,true,93184,1,0,,false,0,0,0,0,false,0,5,,false,,,,false,,,false,,false,,
DE_Solar,true,2030,2030,true,true,384560,1,0,,false,0,0,0,0,false,0,5,,false,,,,false,,,false,,false,,
DE_Hydro,true,2030,2030,false,false,,1,0,,false,0,0,0,0,false,0,5,,false,,,,false,,,false,,false,,
DE_Hydro_Reservoir,true,2030,2030,false,false,,1,0,,false,1297,1,129300,0,false,0,5,,false,,,,false,,,false,,false,,
DE_Battery,true,2030,2030,false,false,,1,0,,false,4941,1,,3,false,0,5,,false,relaxed_binary,,,false,,,false,,false,,
DE_Pump_Hydro_Closed,true,2030,2030,false,false,,1,0,,false,7382,1,141100,0,false,0,5,,false,,,,false,,,false,,false,,
DE_Pump_Hydro_Open,true,2030,2030,false,false,,1,0,,false,1644,1,208350,0,false,0,5,,false,,,,false,,,false,,false,,
DE_Coal,true,2030,2030,true,true,40900.8,1,0,,false,0,0,0,0,false,0,5,,false,,,,false,basic,0.25,false,0.4,false,0.5,0.5
DE_Gas,true,2030,2030,true,true,62155.2,1,0,,false,0,0,0,0,false,0,5,,false,,,,false,basic,0.101,false,0.3,false,0.7,0.7
DE_OCGT,true,2030,2030,true,true,6271.2,1,0,,false,0,0,0,0,false,0,5,,false,,,,false,basic,0.088,false,0.25,false,0.75,0.75
FR_E_Balance,true,2030,2030,false,false,,0,0,,false,0,0,0,0,false,0,5,,false,,,,false,,,false,,false,,
FR_E_Demand,true,2030,2030,false,false,,0,85861,,false,0,0,0,0,false,0,5,,false,,,,false,,,false,,false,,
FR_E_ENS,true,2030,2030,false,false,,1,0,,false,0,0,0,0,false,0,5,,false,,,,false,,,false,,false,,
FR_Wind_Onshore,true,2030,2030,true,true,71858,1,0,,false,0,0,0,0,false,0,5,,false,,,,false,,,false,,false,,
FR_Wind_Offshore,true,2030,2030,true,true,22000,1,0,,false,0,0,0,0,false,0,5,,false,,,,false,,,false,,false,,
FR_Solar,true,2030,2030,true,true,173764,1,0,,false,0,0,0,0,false,0,5,,false,,,,false,,,false,,false,,
FR_Hydro,true,2030,2030,false,false,,1,0,,false,0,0,0,0,false,0,5,,false,,,,false,,,false,,false,,
FR_Hydro_Reservoir,true,2030,2030,false,false,,1,0,,false,8785,1,5000000,0,false,0,5,,false,,,,false,,,false,,false,,
FR_Nuclear,true,2030,2030,false,false,,1,0,,false,0,0,0,0,false,0,5,,false,,,,false,,,false,,false,,
FR_Pump_Hydro_Closed,true,2030,2030,false,false,,1,0,,false,1950,1,5000,0,false,0,5,,false,,,,false,,,false,,false,,
FR_Pump_Hydro_Open,true,2030,2030,false,false,,1,0,,false,1850,1,45000,0,false,0,5,,false,,,,false,,,false,,false,,
FR_Gas,true,2030,2030,true,true,17253.6,1,0,,false,0,0,0,0,false,0,5,,false,,,,false,basic,0.101,false,0.3,false,0.7,0.7
FR_OCGT,true,2030,2030,true,true,6271.2,1,0,,false,0,0,0,0,false,0,5,,false,,,,false,basic,0.088,false,0.25,false,0.75,0.75
DK_E_Balance,true,2030,2030,false,false,,0,0,,false,0,0,0,0,false,0,5,,false,,,,false,,,false,,false,,
DK_E_Demand,true,2030,2030,false,false,,0,9633,,false,0,0,0,0,false,0,5,,false,,,,false,,,false,,false,,
DK_E_ENS,true,2030,2030,false,false,,1,0,,false,0,0,0,0,false,0,5,,false,,,,false,,,false,,false,,
DK_Wind_Onshore,true,2030,2030,true,true,12314,1,0,,false,0,0,0,0,false,0,5,,false,,,,false,,,false,,false,,
DK_Wind_Offshore,true,2030,2030,true,true,27320,1,0,,false,0,0,0,0,false,0,5,,false,,,,false,,,false,,false,,
DK_Solar,true,2030,2030,true,true,25868,1,0,,false,0,0,0,0,false,0,5,,false,,,,false,,,false,,false,,
DK_Gas,true,2030,2030,true,true,3177.6,1,0,,false,0,0,0,0,false,0,5,,false,,,,false,basic,0.101,false,0.3,false,0.7,0.7
DK_OCGT,true,2030,2030,true,true,369.6,1,0,,false,0,0,0,0,false,0,5,,false,,,,false,basic,0.088,false,0.25,false,0.75,0.75
UK_E_Balance,true,2030,2030,false,false,,0,0,,false,0,0,0,0,false,0,5,,false,,,,false,,,false,,false,,
UK_E_Demand,true,2030,2030,false,false,,0,61936,,false,0,0,0,0,false,0,5,,false,,,,false,,,false,,false,,
UK_E_ENS,true,2030,2030,false,false,,1,0,,false,0,0,0,0,false,0,5,,false,,,,false,,,false,,false,,
UK_Wind_Onshore,true,2030,2030,true,true,53180,1,0,,false,0,0,0,0,false,0,5,,false,,,,false,,,false,,false,,
UK_Wind_Offshore,true,2030,2030,true,true,139000,1,0,,false,0,0,0,0,false,0,5,,false,,,,false,,,false,,false,,
UK_Solar,true,2030,2030,true,true,93632,1,0,,false,0,0,0,0,false,0,5,,false,,,,false,,,false,,false,,
UK_Hydro,true,2030,2030,false,false,,1,0,,false,0,0,0,0,false,0,5,,false,,,,false,,,false,,false,,
UK_Nuclear,true,2030,2030,false,false,,1,0,,false,0,0,0,0,false,0,5,,false,,,,false,,,false,,false,,
